Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,31.219999,31.33,30.93,31.299999,11716300,29.639367
2010-12-30,31.450001,31.58,31.209999,31.290001,12989400,29.629899
2010-12-29,31.530001,31.690001,31.42,31.50,9769000,29.828757
2010-12-28,31.66,31.76,31.41,31.57,9736000,29.895042
2010-12-27,31.40,31.799999,31.24,31.66,13822100,29.980268
2010-12-23,31.530001,31.700001,31.41,31.540001,13049400,29.866635
2010-12-22,31.68,31.879999,31.559999,31.66,14019200,29.980268
2010-12-21,31.65,32.00,31.59,31.76,20002800,30.074962
2010-12-20,31.540001,31.940001,31.110001,31.67,33568100,29.989737
2010-12-17,31.92,32.27,31.370001,31.459999,92487100,29.790878
2010-12-16,30.700001,30.77,30.25,30.27,47435600,28.664015
2010-12-15,30.59,30.700001,30.26,30.49,30537600,28.872342
2010-12-14,30.360001,30.75,30.360001,30.51,25351800,28.891282
2010-12-13,29.99,30.719999,29.57,30.42,45575200,28.806056
2010-12-10,29.440001,29.98,29.42,29.940001,28562000,28.351523
2010-12-09,29.35,29.49,29.040001,29.26,18260200,27.707601
2010-12-08,29.26,29.280001,29.00,29.23,14874800,27.679192
2010-12-07,29.059999,29.370001,28.940001,29.049999,32190500,27.508741
2010-12-06,28.85,28.959999,28.639999,28.73,21150300,27.205719
2010-12-03,28.08,28.90,28.059999,28.809999,34454600,27.281475
2010-12-02,27.809999,28.18,27.690001,28.10,32129900,26.609145
2010-12-01,27.540001,27.690001,27.41,27.65,34781300,26.183019
2010-11-30,26.92,27.129999,26.809999,27.049999,38931000,25.614852
2010-11-29,27.17,27.34,26.91,27.219999,32610700,25.775833
2010-11-26,27.58,27.620001,27.34,27.49,12887500,26.031508
2010-11-24,27.67,27.879999,27.620001,27.74,34983800,26.268244
2010-11-23,27.75,27.82,27.08,27.190001,31294200,25.747426
2010-11-22,27.889999,28.09,27.790001,28.049999,27618000,26.561797
2010-11-19,28.32,28.370001,28.030001,28.15,25890900,26.656492
2010-11-18,28.370001,28.59,28.16,28.309999,32649200,26.808003
2010-11-17,27.51,28.110001,27.49,27.91,24642700,26.429225
2010-11-16,28.01,28.10,27.50,27.58,31206600,26.116733
2010-11-15,28.35,28.77,28.280001,28.40,21636700,26.893228
2010-11-12,28.50,28.610001,28.09,28.32,25818800,26.817472
2010-11-11,28.190001,28.58,27.68,28.57,37211000,27.054208
2010-11-10,28.639999,28.84,28.360001,28.690001,27841000,27.167843
2010-11-09,29.059999,29.25,28.610001,28.74,34625800,27.215189
2010-11-08,29.08,29.190001,28.84,29.040001,27179000,27.499274
2010-11-05,29.299999,29.50,28.98,29.25,28312700,27.698131
2010-11-04,29.610001,29.82,29.10,29.469999,35709700,27.906458
2010-11-03,29.549999,29.57,28.99,29.200001,30003800,27.650785
2010-11-02,29.49,29.57,29.26,29.530001,24201900,27.963276
2010-11-01,29.52,29.549999,28.93,29.129999,21100000,27.584497
2010-10-29,29.360001,29.709999,29.299999,29.379999,35074300,27.821233
2010-10-28,28.82,29.48,28.50,29.360001,35130600,27.802296
2010-10-27,28.549999,28.82,28.360001,28.700001,33890100,27.177312
2010-10-26,28.709999,28.84,28.540001,28.629999,28045400,27.111025
2010-10-25,29.15,29.290001,28.809999,28.84,30650400,27.309884
2010-10-22,28.84,29.030001,28.73,28.99,16499800,27.451925
2010-10-21,28.799999,29.139999,28.57,28.82,30191100,27.290945
2010-10-20,29.01,29.18,28.60,28.639999,39081700,27.120494
2010-10-19,28.940001,29.24,28.450001,29.129999,44673600,27.584497
2010-10-18,28.73,29.23,28.58,29.23,35810300,27.679192
2010-10-15,28.469999,28.91,28.16,28.90,54775500,27.3667
2010-10-14,28.66,28.700001,28.110001,28.33,38136000,26.826942
2010-10-13,28.00,28.91,26.98,28.60,49145300,27.082617
2010-10-12,27.75,28.00,27.41,27.950001,27552500,26.467104
2010-10-11,27.90,28.10,27.73,27.85,22649500,26.372409
2010-10-08,27.59,28.08,27.309999,28.00,33162900,26.51445
2010-10-07,27.629999,27.889999,27.540001,27.690001,40611400,26.220898
2010-10-06,27.299999,27.860001,27.24,27.58,50631600,26.116733
2010-10-05,27.209999,27.35,27.059999,27.299999,42520100,25.851588
2010-10-04,27.02,27.360001,26.889999,26.90,36791900,25.472811
2010-10-01,27.18,27.610001,27.139999,27.24,33690400,25.747424
2010-09-30,27.280001,27.41,26.809999,26.85,42880900,25.378794
2010-09-29,27.07,27.299999,26.93,27.17,36626800,25.68126
2010-09-28,27.059999,27.40,26.790001,27.190001,43256700,25.700164
2010-09-27,26.860001,27.120001,26.780001,26.950001,34142900,25.473315
2010-09-24,27.440001,27.50,26.74,26.959999,58136200,25.482765
2010-09-23,26.959999,27.49,26.959999,27.120001,33123300,25.634
2010-09-22,26.66,27.33,26.639999,27.200001,51969100,25.709617
2010-09-21,27.33,27.360001,26.700001,26.82,82733900,25.350437
2010-09-20,27.35,27.57,27.030001,27.49,49729800,25.983725
2010-09-17,26.440001,27.629999,26.40,27.48,150976500,25.974273
2010-09-16,25.68,25.709999,25.209999,25.360001,52951000,23.970436
2010-09-15,25.27,25.790001,25.17,25.74,37563600,24.329614
2010-09-14,25.040001,25.58,25.040001,25.379999,31261800,23.989339
2010-09-13,25.139999,25.42,25.110001,25.110001,46816700,23.734135
2010-09-10,24.42,25.15,24.379999,25.049999,44266700,23.677421
2010-09-09,24.32,24.50,24.209999,24.33,25963700,22.996873
2010-09-08,24.07,24.23,23.879999,24.139999,54705500,22.817283
2010-09-07,24.559999,24.690001,24.01,24.26,113824400,22.930709
2010-09-03,22.790001,22.940001,22.57,22.92,21256900,21.664132
2010-09-02,22.610001,22.719999,22.35,22.48,18057800,21.248241
2010-09-01,22.15,22.65,22.10,22.620001,29085400,21.380571
2010-08-31,21.92,21.93,21.66,21.84,41712400,20.643309
2010-08-30,22.34,22.620001,22.00,22.02,23318300,20.813447
2010-08-27,22.379999,22.549999,21.950001,22.51,21375200,21.276598
2010-08-26,22.540001,22.73,22.190001,22.25,18884700,21.030844
2010-08-25,22.219999,22.549999,22.030001,22.42,18685900,21.191529
2010-08-24,22.610001,22.790001,22.379999,22.41,23293400,21.182077
2010-08-23,23.059999,23.299999,22.83,22.84,18250200,21.588516
2010-08-20,22.950001,23.08,22.77,23.02,21985400,21.758653
2010-08-19,22.860001,23.16,22.82,23.00,26754800,21.739749
2010-08-18,22.91,23.25,22.799999,23.09,18984200,21.824817
2010-08-17,22.860001,23.24,22.719999,23.049999,22483000,21.787008
2010-08-16,22.51,23.00,22.35,22.719999,19511700,21.47509
2010-08-13,22.76,22.940001,22.51,22.66,29793400,21.418378
2010-08-12,23.24,23.389999,22.73,22.940001,33737300,21.683037
2010-08-11,23.91,23.940001,23.559999,23.66,25666300,22.363585
2010-08-10,24.10,24.43,23.92,24.290001,28063400,22.959066
2010-08-09,24.40,24.59,24.24,24.26,20551400,22.930709
2010-08-06,24.01,24.40,23.90,24.379999,33734300,23.044133
2010-08-05,24.280001,24.440001,24.139999,24.290001,18723600,22.959066
2010-08-04,24.290001,24.59,24.17,24.49,19989600,23.148106
2010-08-03,24.309999,24.34,24.059999,24.209999,16366100,22.883448
2010-08-02,23.870001,24.389999,23.719999,24.290001,26652000,22.959066
2010-07-30,23.57,23.83,23.40,23.639999,48321700,22.34468
2010-07-29,24.25,24.389999,23.629999,23.700001,39976700,22.401394
2010-07-28,24.549999,24.59,24.17,24.280001,21200100,22.949614
2010-07-27,24.60,24.68,24.32,24.57,23800600,23.223723
2010-07-26,24.450001,24.67,24.35,24.639999,27093000,23.289887
2010-07-23,24.200001,24.58,24.15,24.50,29755500,23.157558
2010-07-22,23.719999,24.41,23.700001,24.309999,32726500,22.977969
2010-07-21,23.860001,23.969999,23.459999,23.559999,38740000,22.269064
2010-07-20,23.27,23.969999,23.040001,23.92,38192700,22.609339
2010-07-19,23.48,23.67,23.40,23.59,19688200,22.297421
2010-07-16,23.799999,23.950001,23.25,23.27,30343000,21.994955
