Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,14.82,15.09,14.00,15.00,409800,15.00
2007-12-28,14.50,15.11,14.35,15.00,460900,15.00
2007-12-27,14.50,14.50,14.00,14.40,766000,14.40
2007-12-26,14.57,14.57,14.01,14.27,268300,14.27
2007-12-24,13.78,14.06,13.78,14.02,264300,14.02
2007-12-21,13.56,13.87,13.50,13.50,253300,13.50
2007-12-20,13.81,14.10,13.40,13.65,373700,13.65
2007-12-19,14.45,14.72,13.75,13.99,266800,13.99
2007-12-18,16.219999,16.219999,14.40,14.50,291500,14.50
2007-12-17,14.95,14.95,14.65,14.90,195900,14.90
2007-12-14,15.04,15.04,14.80,15.02,125100,15.02
2007-12-13,15.60,15.65,14.76,14.99,301500,14.99
2007-12-12,16.15,16.799999,15.10,15.60,1094000,15.60
2007-12-11,14.41,15.93,14.41,15.80,665800,15.80
2007-12-10,14.65,14.80,14.40,14.67,271500,14.67
2007-12-07,14.69,14.69,14.30,14.52,91600,14.52
2007-12-06,14.74,14.74,14.15,14.54,173100,14.54
2007-12-05,14.45,14.69,14.10,14.13,135000,14.13
2007-12-04,14.50,14.75,13.97,14.20,221700,14.20
2007-12-03,14.84,15.10,14.47,14.47,296300,14.47
2007-11-30,13.75,15.15,13.60,14.75,501100,14.75
2007-11-29,13.50,14.97,13.50,13.60,269200,13.60
2007-11-28,12.89,13.33,12.75,13.00,487600,13.00
2007-11-27,12.81,12.90,12.60,12.70,192500,12.70
2007-11-26,12.96,12.96,12.55,12.84,125400,12.84
2007-11-23,12.70,12.85,12.36,12.85,110900,12.85
2007-11-21,12.85,12.85,12.25,12.35,180100,12.35
2007-11-20,12.85,12.90,12.78,12.84,29100,12.84
2007-11-19,12.85,13.09,12.70,12.79,130400,12.79
2007-11-16,12.63,13.15,12.63,12.95,141900,12.95
2007-11-15,12.80,12.94,12.46,12.75,578000,12.75
2007-11-14,13.50,13.60,12.82,12.82,122500,12.82
2007-11-13,13.63,13.63,13.30,13.38,335000,13.38
2007-11-12,13.20,13.55,13.20,13.40,445200,13.40
2007-11-09,12.94,13.15,12.80,13.12,62800,13.12
2007-11-08,12.65,13.00,12.49,13.00,333600,13.00
2007-11-07,12.50,12.50,12.10,12.32,147700,12.32
2007-11-06,12.25,12.60,12.21,12.56,46900,12.56
2007-11-05,12.30,12.30,12.20,12.30,59300,12.30
2007-11-02,12.30,12.55,12.10,12.40,73400,12.40
2007-11-01,12.30,12.95,12.21,12.30,206300,12.30
2007-10-31,11.87,12.30,11.75,12.30,322300,12.30
2007-10-30,12.00,12.00,11.79,11.95,52400,11.95
2007-10-29,11.90,12.00,11.56,12.00,284500,12.00
2007-10-26,11.94,12.00,11.86,11.89,14200,11.89
2007-10-25,12.06,12.06,11.60,11.91,23700,11.91
2007-10-24,12.10,12.15,11.95,12.01,28400,12.01
2007-10-23,11.95,12.19,11.95,12.08,155100,12.08
2007-10-22,11.90,12.05,11.75,11.95,84200,11.95
2007-10-19,12.15,12.25,11.85,11.90,191600,11.90
2007-10-18,11.91,12.01,11.76,12.00,47000,12.00
2007-10-17,12.10,12.10,11.97,12.01,34000,12.01
2007-10-16,11.80,12.04,11.80,11.99,80400,11.99
2007-10-15,12.25,12.25,11.92,11.92,48000,11.92
2007-10-12,12.20,12.25,11.97,12.06,77200,12.06
2007-10-11,12.25,12.45,12.20,12.23,37000,12.23
2007-10-10,12.23,12.40,12.07,12.21,71200,12.21
2007-10-09,12.46,12.60,12.29,12.30,197500,12.30
2007-10-08,12.25,12.55,12.11,12.46,153800,12.46
2007-10-05,12.04,12.43,11.81,12.30,85800,12.30
2007-10-04,11.89,12.15,11.83,12.00,102700,12.00
2007-10-03,11.99,11.99,11.82,11.89,84200,11.89
2007-10-02,11.85,12.00,11.72,11.84,165700,11.84
2007-10-01,12.13,12.13,11.75,11.88,218100,11.88
2007-09-28,11.48,11.85,11.36,11.85,256800,11.85
2007-09-27,11.33,11.57,11.13,11.57,129500,11.57
2007-09-26,10.93,11.34,10.93,11.31,137700,11.31
2007-09-25,11.00,11.00,10.75,10.85,38000,10.85
2007-09-24,11.17,11.59,10.90,11.05,113900,11.05
2007-09-21,10.98,11.12,10.81,11.03,129700,11.03
2007-09-20,10.70,10.95,10.65,10.92,95100,10.92
2007-09-19,10.42,10.65,10.29,10.50,234600,10.50
2007-09-18,10.09,10.37,9.83,10.37,240800,10.37
2007-09-17,10.05,10.14,9.90,10.00,50900,10.00
2007-09-14,10.02,10.10,9.91,10.00,108100,10.00
2007-09-13,10.20,10.50,9.96,10.04,168000,10.04
2007-09-12,10.25,10.48,9.91,10.24,148800,10.24
2007-09-11,10.30,10.39,10.16,10.39,136400,10.39
2007-09-10,10.80,10.80,10.32,10.45,65900,10.45
2007-09-07,10.60,11.00,10.60,10.62,146600,10.62
2007-09-06,10.70,10.85,10.50,10.59,22300,10.59
2007-09-05,11.35,11.35,10.70,10.76,70600,10.76
2007-09-04,11.00,11.25,10.76,11.19,94200,11.19
2007-08-31,10.80,10.97,10.55,10.90,80300,10.90
2007-08-30,10.80,10.94,10.70,10.71,10600,10.71
2007-08-29,10.55,10.82,10.42,10.78,45700,10.78
2007-08-28,10.86,10.86,10.51,10.55,22300,10.55
2007-08-27,10.91,11.00,10.66,11.00,20400,11.00
2007-08-24,11.00,11.00,10.78,11.00,80500,11.00
2007-08-23,10.80,10.99,10.71,10.99,105100,10.99
2007-08-22,11.15,11.15,10.80,10.81,27900,10.81
2007-08-21,10.66,11.29,10.60,11.09,309500,11.09
2007-08-20,10.33,10.60,10.15,10.45,33700,10.45
2007-08-17,10.19,10.38,9.91,10.30,158400,10.30
2007-08-16,9.50,9.70,9.21,9.70,452800,9.70
2007-08-15,9.75,9.89,9.35,9.85,147500,9.85
2007-08-14,10.19,10.34,9.89,9.92,60800,9.92
2007-08-13,10.16,10.32,10.11,10.28,26400,10.28
2007-08-10,10.45,10.49,7.55,10.30,391500,10.30
2007-08-09,10.30,10.55,10.10,10.49,671400,10.49
2007-08-08,10.10,11.00,10.10,10.38,50700,10.38
2007-08-07,10.23,10.37,10.10,10.16,25400,10.16
2007-08-06,10.65,10.65,10.02,10.18,111800,10.18
2007-08-03,10.55,10.78,10.48,10.55,62000,10.55
2007-08-02,10.95,10.95,10.74,10.75,73900,10.75
2007-08-01,11.10,11.18,10.91,10.96,112000,10.96
2007-07-31,11.24,11.24,10.90,11.05,89200,11.05
2007-07-30,11.17,11.25,11.06,11.18,85500,11.18
2007-07-27,11.10,11.30,11.00,11.03,21800,11.03
2007-07-26,11.00,11.30,11.00,11.15,85800,11.15
2007-07-25,11.26,11.50,11.05,11.21,53800,11.21
2007-07-24,11.69,11.79,11.25,11.30,57400,11.30
2007-07-23,11.70,11.89,11.30,11.66,64700,11.66
2007-07-20,11.70,11.80,11.64,11.70,5700,11.70
2007-07-19,11.70,11.82,11.61,11.82,70400,11.82
2007-07-18,11.71,11.95,11.55,11.76,69900,11.76
2007-07-17,11.95,12.10,11.70,11.73,45600,11.73
2007-07-16,11.95,12.13,11.81,12.00,36000,12.00
2007-07-13,11.65,11.89,11.65,11.80,28900,11.80
2007-07-12,12.10,12.15,11.87,11.98,34900,11.98
2007-07-11,11.82,12.11,11.76,11.96,113100,11.96
2007-07-10,12.00,12.11,11.84,11.96,33000,11.96
2007-07-09,11.85,12.04,11.80,12.04,61800,12.04
2007-07-06,11.72,11.84,11.65,11.80,60000,11.80
2007-07-05,11.59,11.70,11.52,11.65,72000,11.65
2007-07-03,11.57,11.65,11.50,11.58,13500,11.58
2007-07-02,11.85,11.90,11.51,11.51,161500,11.51
2007-06-29,11.48,11.85,11.42,11.80,171900,11.80
2007-06-28,11.39,11.70,11.20,11.33,88600,11.33
2007-06-27,11.20,11.59,11.20,11.38,64200,11.38
2007-06-26,11.93,11.93,11.15,11.29,191200,11.29
2007-06-25,11.85,11.96,11.40,11.85,80100,11.85
2007-06-22,12.04,12.09,11.87,11.99,19200,11.99
2007-06-21,12.00,12.00,11.87,12.00,5800,12.00
2007-06-20,12.10,12.30,11.80,12.00,113900,12.00
2007-06-19,12.30,12.30,11.80,12.07,199100,12.07
2007-06-18,12.80,12.90,12.39,12.39,80900,12.39
2007-06-15,12.75,12.85,12.70,12.73,36100,12.73
2007-06-14,13.00,13.00,12.45,12.69,120800,12.69
2007-06-13,12.80,13.15,12.65,12.90,763800,12.90
2007-06-12,12.60,12.99,12.55,12.70,356000,12.70
2007-06-11,12.40,12.69,12.30,12.67,288800,12.67
2007-06-08,12.59,12.59,12.23,12.37,111200,12.37
2007-06-07,12.35,12.60,12.08,12.49,367300,12.49
2007-06-06,11.80,12.40,11.51,12.25,266900,12.25
2007-06-05,11.64,11.64,11.47,11.60,227900,11.60
2007-06-04,11.79,11.81,11.56,11.60,129600,11.60
2007-06-01,11.58,11.82,11.16,11.72,316400,11.72
2007-05-31,11.31,11.59,11.31,11.33,183300,11.33
2007-05-30,11.10,11.47,11.10,11.47,219600,11.47
2007-05-29,11.30,11.30,11.10,11.13,20000,11.13
2007-05-25,11.42,11.42,11.15,11.24,47800,11.24
2007-05-24,11.30,11.44,11.27,11.42,81700,11.42
2007-05-23,11.45,11.45,11.34,11.36,37200,11.36
2007-05-22,11.50,11.51,11.40,11.46,17300,11.46
2007-05-21,11.58,11.58,11.54,11.55,93900,11.55
2007-05-18,11.54,11.61,11.46,11.55,14200,11.55
2007-05-17,11.37,11.57,11.23,11.57,121400,11.57
2007-05-16,11.38,11.54,11.29,11.54,266400,11.54
2007-05-15,11.39,11.45,11.35,11.38,71900,11.38
2007-05-14,11.36,11.36,11.32,11.32,53800,11.32
2007-05-11,11.39,11.39,11.35,11.36,36700,11.36
2007-05-10,11.30,11.38,11.15,11.38,64600,11.38
2007-05-09,11.40,11.45,11.31,11.40,235300,11.40
2007-05-08,11.47,11.60,11.40,11.43,342600,11.43
2007-05-07,11.00,11.48,11.00,11.47,803700,11.47
2007-05-04,10.52,11.04,10.51,10.99,540000,10.99
2007-05-03,10.01,10.55,10.01,10.45,694700,10.45
2007-05-02,10.30,10.44,10.06,10.07,399500,10.07
2007-05-01,10.44,10.47,10.31,10.40,52400,10.40
2007-04-30,10.65,10.65,9.92,10.49,260200,10.49
2007-04-27,10.62,10.72,10.50,10.65,64000,10.65
2007-04-26,10.71,10.79,10.57,10.60,110100,10.60
2007-04-25,10.75,10.80,10.75,10.76,101700,10.76
2007-04-24,10.90,10.90,10.80,10.80,194000,10.80
2007-04-23,11.05,11.05,10.81,10.84,83700,10.84
2007-04-20,11.01,11.08,10.95,11.00,70200,11.00
2007-04-19,10.80,11.08,10.75,11.00,79500,11.00
2007-04-18,10.85,10.88,10.71,10.85,135400,10.85
2007-04-17,10.99,10.99,10.73,10.84,99800,10.84
2007-04-16,10.76,10.90,10.76,10.90,853700,10.90
2007-04-13,10.90,11.00,10.65,10.80,59700,10.80
2007-04-12,10.85,10.90,10.72,10.82,70600,10.82
2007-04-11,10.95,11.25,10.88,10.92,44400,10.92
2007-04-10,11.24,11.24,10.95,10.99,126600,10.99
2007-04-09,11.45,11.45,11.11,11.20,87800,11.20
2007-04-05,11.50,11.80,11.20,11.40,531300,11.40
2007-04-04,11.25,11.84,11.25,11.65,164600,11.65
2007-04-03,11.25,11.42,11.15,11.31,164100,11.31
2007-04-02,10.72,11.25,10.72,11.20,574200,11.20
2007-03-30,10.84,10.90,10.71,10.85,135300,10.85
2007-03-29,10.83,10.84,10.76,10.83,61800,10.83
2007-03-28,10.83,10.83,10.76,10.81,60500,10.81
2007-03-27,10.41,10.84,10.35,10.80,115900,10.80
2007-03-26,10.71,10.84,10.50,10.69,78500,10.69
