Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,17.809999,17.99,17.68,17.73,23404500,16.53345
2008-12-30,17.35,17.860001,17.25,17.83,24498300,16.626701
2008-12-29,17.32,17.40,17.02,17.219999,21226900,16.057868
2008-12-26,17.40,17.459999,17.26,17.43,9496000,16.253697
2008-12-24,17.35,17.450001,17.18,17.32,8337100,16.15112
2008-12-23,17.530001,17.76,17.08,17.299999,26611800,16.132469
2008-12-22,17.790001,17.790001,17.17,17.52,32738500,16.337623
2008-12-19,17.440001,18.16,16.610001,17.780001,90125800,16.580076
2008-12-18,16.83,16.969999,16.34,16.610001,45269900,15.489037
2008-12-17,16.969999,17.040001,16.68,16.74,38961500,15.610262
2008-12-16,16.610001,17.40,16.51,17.27,57317700,16.104495
2008-12-15,16.40,16.639999,16.129999,16.450001,37179300,15.339835
2008-12-12,16.110001,16.940001,16.07,16.84,33021700,15.703514
2008-12-11,17.290001,17.290001,16.40,16.459999,36833500,15.349158
2008-12-10,17.139999,17.59,16.889999,17.389999,36795000,16.216395
2008-12-09,16.74,17.67,16.60,16.940001,44413400,15.796766
2008-12-08,16.51,17.32,16.35,17.040001,49736700,15.890017
2008-12-05,15.23,16.40,15.17,16.32,57184100,15.218607
2008-12-04,15.82,15.99,15.20,15.44,48105900,14.397996
2008-12-03,15.92,16.15,15.62,16.129999,72210200,15.041429
2008-12-02,15.61,16.02,15.26,15.79,41701000,14.724376
2008-12-01,15.71,16.040001,15.38,15.47,51362300,14.425972
2008-11-28,16.10,16.15,15.75,16.09,19899100,15.004129
2008-11-26,15.65,16.25,15.64,16.139999,52962900,15.050754
2008-11-25,16.84,16.85,15.72,15.98,73396600,14.901553
2008-11-24,16.57,16.99,16.32,16.639999,75407900,15.517011
2008-11-21,15.44,16.49,15.10,16.379999,73239000,15.274557
2008-11-20,16.02,16.76,15.32,15.40,67199300,14.360695
2008-11-19,16.90,17.299999,15.97,16.00,65869100,14.920203
2008-11-18,16.52,17.030001,15.92,17.02,55664200,15.871367
2008-11-17,16.610001,16.99,16.299999,16.41,41318500,15.302533
2008-11-14,17.26,17.790001,16.66,16.90,51944100,15.759464
2008-11-13,16.33,17.75,15.63,17.719999,62134400,16.524124
2008-11-12,16.82,17.040001,16.40,16.469999,44447600,15.358484
2008-11-11,17.379999,17.52,16.790001,17.290001,35681000,16.123145
2008-11-10,17.83,17.84,17.360001,17.559999,24816800,16.374923
2008-11-07,17.08,17.66,16.969999,17.530001,35136500,16.346948
2008-11-06,17.43,17.58,16.65,16.85,54420800,15.712839
2008-11-05,18.65,18.76,17.709999,17.82,37384600,16.617376
2008-11-04,18.50,19.00,18.32,18.90,38671300,17.62449
2008-11-03,18.110001,18.41,18.040001,18.33,28389100,17.092958
2008-10-31,17.860001,18.620001,17.809999,18.290001,55114800,17.055658
2008-10-30,18.129999,18.610001,17.790001,18.32,71484400,17.083632
2008-10-29,17.360001,18.370001,16.77,17.290001,58715900,16.123145
2008-10-28,16.40,17.68,15.57,17.620001,47608000,16.430875
2008-10-27,15.99,16.77,15.31,15.77,62876600,14.705726
2008-10-24,15.71,16.709999,15.48,16.200001,54151300,15.106706
2008-10-23,16.98,17.469999,16.01,16.950001,62156400,15.806091
2008-10-22,17.25,17.50,16.610001,17.17,46864400,16.011243
2008-10-21,17.90,18.41,17.59,17.690001,46932000,16.49615
2008-10-20,17.360001,18.16,17.10,18.16,42566000,16.93443
2008-10-17,16.41,17.99,16.209999,17.02,52293900,15.871367
2008-10-16,16.16,16.99,15.31,16.99,70756900,15.843391
2008-10-15,17.40,17.73,15.94,15.95,55101100,14.873577
2008-10-14,19.34,19.440001,17.370001,17.690001,59134200,16.49615
2008-10-13,17.52,18.870001,17.040001,18.860001,54677400,17.58719
2008-10-10,15.70,17.030001,15.28,16.68,96946200,15.554312
2008-10-09,17.219999,17.559999,16.00,16.209999,58118900,15.11603
2008-10-08,16.309999,17.629999,16.01,16.879999,75915900,15.740814
2008-10-07,18.290001,18.50,16.780001,16.780001,64087300,15.647564
2008-10-06,18.889999,19.299999,17.25,18.299999,79751400,17.064982
2008-10-03,19.67,20.540001,19.48,19.48,53659800,18.165347
2008-10-02,19.84,19.99,19.360001,19.49,43966500,18.174672
2008-10-01,20.190001,20.190001,19.549999,19.860001,35077900,18.519703
2008-09-30,19.110001,20.41,19.10,20.309999,51036400,18.939332
2008-09-29,20.34,20.530001,18.00,18.77,59105400,17.503264
2008-09-26,19.99,20.85,19.98,20.620001,39221800,19.228413
2008-09-25,20.34,20.82,20.209999,20.469999,40432400,19.088534
2008-09-24,19.90,20.50,19.77,19.950001,32234300,18.603629
2008-09-23,19.82,20.549999,19.639999,19.690001,42062600,18.361176
2008-09-22,19.98,20.76,19.60,19.75,39592900,18.417126
2008-09-19,20.99,21.00,15.00,20.07,76248200,18.71553
2008-09-18,18.370001,18.950001,17.84,18.75,76944900,17.484613
2008-09-17,18.690001,18.82,18.07,18.10,50033700,16.87848
2008-09-16,18.60,19.049999,18.40,18.959999,61197300,17.68044
2008-09-15,19.049999,19.49,18.92,19.01,41749400,17.727067
