Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,0.04,0.04,0.04,0.04,1025800,0.04
2012-12-28,0.04,0.04,0.04,0.04,836000,0.04
2012-12-27,0.04,0.04,0.03,0.04,581800,0.04
2012-12-26,0.04,0.04,0.03,0.04,3054200,0.04
2012-12-24,0.04,0.04,0.03,0.04,800700,0.04
2012-12-21,0.04,0.04,0.03,0.04,1541600,0.04
2012-12-20,0.04,0.04,0.04,0.04,1431500,0.04
2012-12-19,0.04,0.04,0.04,0.04,3968100,0.04
2012-12-18,0.04,0.04,0.04,0.04,3945900,0.04
2012-12-17,0.04,0.04,0.04,0.04,2762500,0.04
2012-12-14,0.04,0.04,0.04,0.04,3043800,0.04
2012-12-13,0.04,0.04,0.04,0.04,1835200,0.04
2012-12-12,0.04,0.04,0.04,0.04,4091500,0.04
2012-12-11,0.05,0.05,0.04,0.04,2775100,0.04
2012-12-10,0.05,0.05,0.04,0.04,2573700,0.04
2012-12-07,0.05,0.05,0.04,0.04,2901600,0.04
2012-12-06,0.04,0.04,0.04,0.04,3025400,0.04
2012-12-05,0.04,0.04,0.04,0.04,2609200,0.04
2012-12-04,0.04,0.04,0.04,0.04,3332300,0.04
2012-12-03,0.05,0.05,0.04,0.04,770500,0.04
2012-11-30,0.04,0.05,0.04,0.04,2201000,0.04
2012-11-29,0.04,0.04,0.04,0.04,2400300,0.04
2012-11-28,0.04,0.05,0.04,0.04,1985300,0.04
2012-11-27,0.04,0.04,0.04,0.04,3779500,0.04
2012-11-26,0.05,0.05,0.04,0.04,3739100,0.04
2012-11-23,0.04,0.05,0.04,0.05,930600,0.05
2012-11-21,0.05,0.05,0.04,0.04,6468300,0.04
2012-11-20,0.06,0.06,0.05,0.05,5999900,0.05
2012-11-19,0.06,0.06,0.05,0.06,6613700,0.06
2012-11-16,0.05,0.06,0.05,0.06,15374400,0.06
2012-11-15,0.03,0.05,0.03,0.05,10099500,0.05
2012-11-14,0.04,0.04,0.03,0.03,3215600,0.03
2012-11-13,0.04,0.04,0.03,0.03,2070200,0.03
2012-11-12,0.04,0.04,0.04,0.04,3888500,0.04
2012-11-09,0.04,0.04,0.03,0.04,3620100,0.04
2012-11-08,0.04,0.04,0.03,0.04,3526100,0.04
2012-11-07,0.04,0.04,0.04,0.04,7370800,0.04
2012-11-06,0.04,0.04,0.03,0.04,1722000,0.04
2012-11-05,0.04,0.04,0.04,0.04,4981900,0.04
2012-11-02,0.04,0.04,0.04,0.04,1181100,0.04
2012-11-01,0.04,0.04,0.04,0.04,2833100,0.04
2012-10-31,0.04,0.05,0.04,0.04,3905400,0.04
2012-10-26,0.04,0.05,0.04,0.04,7057900,0.04
2012-10-25,0.04,0.05,0.04,0.04,6151400,0.04
2012-10-24,0.04,0.05,0.04,0.04,5771600,0.04
2012-10-23,0.04,0.05,0.03,0.04,4937000,0.04
2012-10-22,0.04,0.04,0.03,0.04,4392400,0.04
2012-10-19,0.04,0.04,0.03,0.03,1490100,0.03
2012-10-18,0.03,0.04,0.03,0.04,2347800,0.04
2012-10-17,0.03,0.04,0.03,0.03,2808300,0.03
2012-10-16,0.02,0.03,0.02,0.03,2154300,0.03
2012-10-15,0.02,0.02,0.02,0.02,536600,0.02
2012-10-12,0.01,0.02,0.01,0.02,588300,0.02
2012-10-11,0.01,0.01,0.01,0.01,490200,0.01
2012-10-10,0.01,0.01,0.01,0.01,114200,0.01
